std_smiles,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11
CN(CCc1ccccc1)S(=O)(=O)c1cccc(/C=C/C(O)=NO)c1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,
ON=C(O)c1ccc2[nH]c(-c3ccccc3C(F)(F)F)nc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc(-c2ccc(-c3nc4cc(C(O)=NO)ccc4o3)cc2)cn1,0.0,0.0,1.0,,,1.0,,0.0,,,
CCc1ccc(-c2nc3cc(C(O)=NO)ccc3[nH]2)cc1,0.0,0.0,0.0,,,0.0,,0.0,,,
Cc1noc(C)c1-c1cc2cc(C(O)=NO)ccc2s1,0.0,0.0,0.0,,,0.0,,1.0,,,
Cn1cc(CCNCc2ccc(/C=C/C(O)=NO)cc2)c2ccccc21,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,
ON=C(O)c1ccc2oc(-c3ccccc3Cl)nc2c1,0.0,0.0,1.0,,,0.0,,1.0,,,
ON=C(O)c1ccc2oc(COc3cccc(F)c3)cc2c1,1.0,0.0,1.0,,,0.0,,0.0,,,
CN(Cc1ccc2c(c1)CCC(C(O)=NO)=C2)CC12CC3CC(CC(C3)C1)C2,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,
ON=C(O)c1ccc2[nH]c(-c3ccc(-c4ccccc4)cc3)nc2c1,0.0,0.0,0.0,,,0.0,,1.0,,,
CCCCNNC(=O)c1ccc(-c2cc(C)cc(F)c2)cc1,1.0,0.0,1.0,,,0.0,,0.0,,,
COc1ccc(-c2cc(-c3ccccc3)[nH]c2C(=O)NCc2ccc(C(=O)Nc3ncccn3)cc2)cc1,0.0,0.0,0.0,,,0.0,,0.0,,,
O=C(Nc1ccc(C(O)=NO)cc1)c1[nH]c(-c2ccccc2)cc1-c1ccc(O)cc1,1.0,0.0,1.0,,,1.0,,1.0,,,
O=C(NCc1ccc(C(O)=NO)cc1)c1[nH]c(-c2ccoc2)cc1-c1ccc(F)cc1,1.0,0.0,1.0,,,1.0,,1.0,,,
CN(Cc1ccc(/C=C/C(O)=NO)cc1F)CC12CC3CC(CC(C3)C1)C2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,
CN(Cc1ccc(/C=C/C(O)=NO)cc1)CC12CC3CC(CC(C3)C1)C2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,
CC(C)c1ccc(-c2cc3cc(C(O)=NO)cnc3o2)cc1,1.0,0.0,1.0,,,0.0,,1.0,,,
ON=C(O)/C=C/c1ccc(CNCC23CC4CC(CC(C4)C2)C3)cc1,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,,
CCCCNNC(=O)c1ccc(N(C)C)cc1,0.0,0.0,0.0,,,0.0,,0.0,,,
ON=C(O)c1ccc2oc(-c3ccc(C4CC4)cc3)nc2c1,0.0,0.0,1.0,,,0.0,,0.0,,,
Cn1c(-c2ccc(-c3ccccc3)cc2)nc2cc(C(O)=NO)ccc21,1.0,0.0,0.0,,,0.0,,1.0,,,
CCCCCNNC(=O)c1ccc(Br)cc1,0.0,0.0,1.0,,,0.0,,0.0,,,
CC(C)c1ccc(-c2nc3cc(C(O)=NO)ccc3n2C)cc1,0.0,0.0,0.0,,,0.0,,1.0,,,
ON=C(O)c1ccc2nc(-c3cccc4cccnc34)sc2c1,0.0,0.0,0.0,,,1.0,,1.0,,,
COc1ccc2c(c1)C(=O)N(CCCCCC(O)=NO)c1ccccc1S2(=O)=O,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,
COc1ccc(-c2cc(-c3ccsc3)c(C(=O)NCc3ccc(C(O)=NO)cc3)[nH]2)cc1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCCCc1ccc(-c2nc3cc(C(O)=NO)ccc3[nH]2)cc1,0.0,0.0,0.0,,,0.0,,1.0,,,
O=C(NCc1ccc(C(O)=NO)cc1)c1[nH]c(-c2cccs2)cc1-c1ccc(O)cc1,1.0,0.0,1.0,,,1.0,,1.0,,,
O=c1c2cccnc2sn1Cc1ccc(C(O)=NO)cc1,1.0,0.0,,,1.0,1.0,,1.0,,0.0,0.0
CCCCN(Cc1ccc(C(O)=NO)cc1)C(=O)Nc1ccccc1OC,1.0,1.0,1.0,,,1.0,,1.0,,,
ON=C(O)c1ccc2oc(-c3ccc(OC(F)(F)F)cc3)nc2c1,0.0,0.0,0.0,,,1.0,,1.0,,,
CC(C)(C)c1ccc(-c2nc3cc(C(O)=NO)ccc3s2)cc1,0.0,0.0,1.0,,,1.0,,1.0,,,
Nc1ccccc1NC(=O)c1ccc(CNC(=O)c2[nH]c(-c3ccc(O)cc3)cc2-c2ccsc2)cc1,1.0,1.0,1.0,,,0.0,,0.0,,,
CN(c1ccccc1)S(=O)(=O)c1cccc(/C=C/C(O)=NO)c1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,
ON=C(O)/C=C/c1ccc(CN(CCF)CC23CC4CC(CC(C4)C2)C3)cc1,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ON=C(O)c1ccc2oc(-c3ccc(-c4ccccc4F)cc3)nc2c1,0.0,0.0,0.0,,,0.0,,1.0,,,
CCCCNNC(=O)c1ccc(-c2cc(C(=O)OCC)ccc2F)cc1,0.0,0.0,1.0,,,0.0,,0.0,,,
COc1ncccc1-c1ccc(-c2nc3cc(C(O)=NO)ccc3o2)cc1,0.0,0.0,0.0,,,1.0,,1.0,,,
CC(C)c1ccc(-c2cc3ccc(C(O)=NO)cc3s2)cc1,0.0,0.0,0.0,,,0.0,,0.0,,,
COc1cccc(-c2cc3ccc(C(O)=NO)cc3o2)c1,1.0,0.0,1.0,,,0.0,,1.0,,,
CN(Cc1ccc(/C=C/C(O)=NO)cc1F)CC1CCCCC1,1.0,1.0,1.0,,,1.0,,0.0,,,
CC1NC(=O)C(C(C)C)NC(=O)C(C)[C@@H](CC=CCCC(=O)O)NC(=O)C(Cc2ccccc2)NC1=O,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
O=C(Nc1ccc(C(O)=NO)cc1)c1[nH]c(-c2ccoc2)cc1-c1ccc(O)cc1,1.0,1.0,1.0,,,1.0,,1.0,,,
ON=C(O)c1ccc2[nH]c(Nc3cccc(OCc4ccccc4)c3)nc2c1,0.0,0.0,1.0,,,0.0,,1.0,,,
ON=C(O)/C=C/c1cccc(CNC23CC4CC(CC(C4)C2)C3)c1,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,
ON=C(O)/C=C/c1ccc(CNCC23CC4CC(CC(C4)C2)C3)c(F)c1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ON=C(O)c1ccc2oc(-c3ccc(C(F)(F)F)cc3)nc2c1,0.0,0.0,0.0,,,1.0,,0.0,,,
CCCCNNC(=O)c1ccc(-c2cccc(F)c2F)cc1,1.0,1.0,1.0,,,0.0,,0.0,,,
CCN1CCN(C(c2cccnc2)c2cc(Cl)c3cccnc3c2O)CC1,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,,
ON=C(O)c1ccc2[nH]c(-c3cccc(Br)c3)nc2c1,0.0,0.0,1.0,,,0.0,,1.0,,,
CCN(CC)Cc1cc2ccc(C(O)=NO)cc2o1,0.0,0.0,0.0,,,0.0,,0.0,,,
CCCCNNC(=O)c1ccc(C[N-][N+]#N)cc1,1.0,1.0,1.0,,,0.0,,1.0,,,
COc1ccc2c(c1)C(=O)N(CCCCCC(O)=NO)c1ccccc1S2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,
ON=C(O)c1ccc2[nH]c(-c3ccc(-c4ccc(CN5CCOCC5)cc4)cc3)nc2c1,0.0,0.0,1.0,,,0.0,,1.0,,,
CC(C)c1ccc(-c2cc3cc(C(O)=NO)ccc3s2)cc1,0.0,0.0,0.0,,,0.0,,0.0,,,
CC(C)c1ccc(-c2nc3cc(C(O)=NO)ccc3[nH]2)cc1,0.0,0.0,0.0,,,0.0,,1.0,,,
Cc1cc(O)cc(C)c1-c1nc2cc(C(O)=NO)ccc2[nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)c1ccc(Nc2nc3cc(C(O)=NO)ccc3o2)cc1,0.0,0.0,0.0,,,1.0,,1.0,,,
CC(C)(C)c1ccc(-c2nc3cc(C(O)=NO)ccc3o2)cc1,0.0,0.0,1.0,,,0.0,,1.0,,,
O=C1CC2(CCN(Cc3ccccc3)CC2)Oc2ccc(C=CC(O)=NO)cc21,1.0,,0.0,1.0,,1.0,,0.0,,,
CCCCNNC(=O)c1ccc(C(C)(C)C)cc1,0.0,0.0,0.0,,,0.0,,0.0,,,
CCC1=NC(=O)C(CS)NC(=O)C(C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)C(C(C)C)NC1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CC(C)Oc1ccc(-c2nc3cc(C(O)=NO)ccc3[nH]2)cc1,0.0,0.0,0.0,,,0.0,,1.0,,,
COc1ccc(/C=C/C(O)=NO)cc1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,
CC(C)c1ccc(-c2nc3cc(C(O)=NO)ccc3o2)cc1,0.0,0.0,0.0,,,0.0,,0.0,,,
ON=C(O)/C=C/c1ccc(CNCC2CCCCC2)cc1,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,
COc1ccc(-c2ccc(-c3nc4cc(C(O)=NO)ccc4o3)c(F)c2)cn1,0.0,0.0,1.0,,,1.0,,1.0,,,
ON=C(O)c1ccc2[nH]c(-c3cccs3)nc2c1,0.0,0.0,0.0,,,0.0,,1.0,,,
CCCCNNC(=O)c1ccc(CN=[N+]=[N-])cc1,1.0,1.0,1.0,,,1.0,,1.0,,,
ON=C(O)/C=C/c1ccc(CNCC2CCCCC2)c(F)c1,1.0,1.0,1.0,,,1.0,,1.0,,,
CN1CCN(Cc2ccc(-c3nc4cc(C(O)=NO)ccc4[nH]3)cc2)CC1,1.0,0.0,1.0,,,0.0,,0.0,,,
CC(C)c1ccc(-c2nc3cc(C(O)=NO)ccc3s2)cc1,1.0,0.0,1.0,,,0.0,,1.0,,,
ON=C(O)c1ccc2[nH]c(-c3ccc4c(c3)CCO4)nc2c1,0.0,0.0,0.0,,,0.0,,1.0,,,
COc1c(C)cc(-c2nc3cc(C(O)=NO)ccc3n2C)cc1C,0.0,0.0,1.0,,,0.0,,1.0,,,
ON=C(O)c1ccc2sc(-c3cccnc3)cc2c1,0.0,0.0,0.0,,,0.0,,1.0,,,
O=C(O)CCC=CCC1NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2c[nH]c3ccccc23)NC1=O,0.0,0.0,0.0,,,0.0,,0.0,,,
ON=C(O)c1cccc(Nc2nc3cc(Cl)c(Cl)cc3o2)c1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
ON=C(O)c1ccc2sc(-c3ccc(F)cc3)nc2c1,0.0,0.0,1.0,,,0.0,,1.0,,,
CC(=O)Nc1ccc(C(=O)Nc2cc(-c3ccncc3)ccc2N)cc1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ON=C(O)c1ccc2[nH]c(-c3ccccc3-c3ccccc3)nc2c1,0.0,0.0,0.0,,,0.0,,1.0,,,
